City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
中山,70,50,57,0.83,30,14,26,4
中卫,45,18,44,0.67,55,17,31,19
周口,91,55,129,0.8,58,26,51,20
舟山,83,58,113,1.0,46,24,49,4
珠海,57,35,62,1.0,57,50,42,10
诸暨,0,0,0,0.0,0,0,0,0
驻马店,66,28,80,0.33,20,59,69,6
株洲,94,70,108,0.93,51,14,9,23
淄博,75,17,98,0.53,32,45,43,17
自贡,89,66,87,0.85,21,42,36,19
资阳,77,56,79,0.84,46,18,26,8
遵义,64,42,75,0.8,30,24,24,18
